TF	target
AEBP2	FAM126A
AFF4	RP11-138A9.2
AHR	RP11-436M15.3
AHR	DCAF7
AHR	CTC-537E7.3
AHR	MIR3128
AHR	BAZ2A
AHR	VASN
AHR	STAU2
AHR	CRYM-AS1
AHR	IL24
AR	WDR70
AR	MT1X
AR	EIF3I
AR	RIOK1
AR	AC007383.3
AR	RPS2P6
AR	WWTR1
AR	TMEM72-AS1
AR	MED27
AR	RP11-406H21.2
AR	RP4-706A16.3
AR	PGC
AR	NECAB1
AR	RNU6-15P
AR	KLC1
AR	EIF2AK1
AR	CTNNA1
AR	B4GALNT3
AR	RP11-346C16.2
AR	FPGS
AR	RNU6-151P
AR	MTERF4
AR	GMDS
AR	BLVRA
AR	SH3D19
AR	KANK1
AR	GABRB3
AR	PSMB7
AR	HIST1H2BI
AR	SPECC1L
AR	FAM118B
AR	FAM162A
AR	KAT2B
AR	PRICKLE2
AR	RP11-37B2.1
AR	ZNF589
ARID3A	RN7SL498P
ARID3A	C2CD2L
ARID3A	PIGU
ARID3A	SNORA71E
ARID3A	AC102953.4
ARID3A	TCEANC
ARID3A	SLC44A3
ARID3A	AC012065.5
ARID3A	TNFAIP8L1
ARID3A	RP11-184M15.2
ARID3A	ELAVL1
ARID3A	WDR19
ARID3A	MEIS1-AS3
ARID3A	AMICA1
ARID3A	RP11-498C9.4
ARID3A	RP1-292B18.1
ARID3A	RMI2
ARID3A	DDX47
ARID3A	RP4-541C22.5
ARID3A	INTS5
ARID3A	PRPF40A
ARID3A	FBXO22
ARID3A	MAGI2-AS3
ARID3A	TMEM140
ARID3A	XXbac-BPG308K3.5
ARID3A	IRF2BP1
ARID3A	FBXO43
ARID3A	TFE3
ARID3A	RANP1
ARID3A	ISCA2P1
ARID3A	NPAS2
ARID3A	RN7SL505P
ARID3A	RP11-762I7.5
ARID3A	U2AF2
ARID3A	RP11-813N20.1
ARNT	SUMF2
ARNT	RP11-218E20.3
ARNT	RAB3A
ARNT	SYNGR3
ARNT	HSPA9
ARNT	AC006483.1
ARNT	LAMA5
ARNT	RP11-353K11.1
ARNT	MIR3186
ARNT	FAM83D
ARNT	AKR1D1
ARNT	EIF4EBP1
ARNT	SLC44A4
ARNT	RP11-94C24.6
ARNT	ESYT1
ARNT	RP11-338E21.1
ARNT	NT5DC4
ARNT	CRYAB
ARNT	PRPF31
ARNT	ANKS3
ARNT	SNAPIN
ARNT	PANK3
ARNT	LOXL2
ARNT	CNDP2
ARNT	BLCAP
ARNT	MIR4640
ARNT	BRSK2
ARNT	RP5-894D12.4
ARNT	RP11-879F14.1
ARNT	RP5-882C2.2
ARNT	RP11-401F2.3
ARNT	RP11-638I2.4
ARNT	TPM4
ARNT	RPL36AP39
ARNT	GUSBP11
ARNT	TCTE1
ARNT	SLC16A5
ARNT	RN7SL353P
ARNT	ABHD11-AS1
ARNT	RNU7-193P
ARNT	AC005253.2
ARNT	CTD-3075F15.1
ARNT	MDC1
ARNT	CTD-3222D19.9
ARNT	RP11-521C20.3
ARNT	DCTN4
ARNT	GRIFIN
ARNT	ZFP1
ARNTL	GBE1
ARRB1	COMTD1
ASCL1	MAP1A
ASCL1	RN7SL574P
ASCL1	RP11-311F12.2
ASCL1	CRABP2
ASCL1	USP2
ASCL1	HYOU1
ASCL1	FBXL22
ASCL1	RP11-382J12.1
ASCL1	TMEM184A
ASCL1	C1orf86
ASCL1	RP11-120K24.3
ASCL1	RP11-728F11.4
ASCL1	RP11-181G12.4
ASCL1	ALPK2
ASCL1	RP11-95P2.1
ASCL1	BIN3
ASCL1	PAM
ASCL1	RP11-567L7.3
ASCL1	PPP1R9B
ASCL1	ABCB6
ASCL1	DEDD2
ASCL1	PCDH1
ASCL1	UBE2I
ASCL1	LIPE
ASCL1	TTC39C
ASCL1	FAM83H-AS1
ASCL1	PHPT1
ASCL1	RNU6-823P
ASCL1	PRODH2
ASCL1	TRMT61B
ASCL1	LTBR
ASCL1	ULK3
ASCL1	POLR1B
ASCL1	DCLRE1C
ASCL1	RNU6-1161P
ASCL1	RRAGA
ASCL1	TMEM229B
ASCL1	SMCR2
ASCL1	MIR4457
ASCL1	RP11-654A16.3
ASCL1	SPAG8
ASCL1	IER5L
ASCL1	SGTA
ASCL1	TCHP
ASCL1	CCDC183
ASCL1	DAGLA
ASCL1	LRRC74B
ASCL1	NALCN
ASCL1	HSPD1
ASCL1	GCLM
ASCL1	LRRC43
ASCL1	POMT1
ASCL1	RP11-262H14.5
ASCL1	DNAI2
ASCL2	CTB-31O20.2
ASCL2	RP11-1055B8.10
ASCL2	LINC01024
ASCL2	TRAIP
ASCL2	SNX31
ASCL2	EPHA1-AS1
ASCL2	JMJD6
ASCL2	KLF4
ASCL2	CTD-2342J14.6
ASCL2	CFAP45
ASCL2	CHMP1B
