TF	target	tissue
AEBP2	TMEM53	colon
AEBP2	C1orf228	colon
AEBP2	FBXO31	colon
AEBP2	ADAMTSL5	colon
AEBP2	CTB-25B13.9	colon
AEBP2	MIR6791	colon
AEBP2	GPR108	colon
AEBP2	TRIP10	colon
AEBP2	GIPC1	colon
AEBP2	RNU6-370P	unclear
AEBP2	C2orf44	colon
AEBP2	FAM126A	colon
AEBP2	HMGCS1	colon
AEBP2	PWWP2A	colon
AEBP2	JUP	colon
AEBP2	NUMB	colon
AFF4	MIR31HG	colon
AFF4	MIR29A	unclear
AFF4	MIR29B1	unclear
AFF4	MIR29B1	colon
AFF4	RP11-138A9.1	unclear
AFF4	RP11-138A9.2	unclear
AFF4	TERF2	colon
AFF4	CYB5B	colon
AFF4	AC009502.1	colon
AFF4	AC009502.4	colon
AFF4	Y_RNA	colon
AFF4	FLOT1	colon
AFF4	XXbac-BPG252P9.10	colon
AFF4	IER3	colon
AFF4	RN7SL353P	colon
AHR	PTDSS2	breast
AHR	RP13-317D12.3	breast
AHR	EPS8L2	breast
AHR	DEAF1	breast
AHR	CYB5R2	breast
AHR	WEE1	breast
AHR	snoU13	breast
AHR	PSMA1	breast
AHR	PSMA1	breast
AHR	SAAL1	breast
AHR	UEVLD	breast
AHR	Metazoa_SRP	breast
AHR	RCN1	breast
AHR	RP1-65P5.3	breast
AHR	CD44	breast
AHR	STX3	breast
AHR	SLC15A3	breast
AHR	TTC9C	breast
AHR	HRASLS2	breast
AHR	KDM2A	breast
AHR	POLD4	breast
AHR	CTC-1337H24.3	breast
AHR	GSTP1	breast
AHR	CPT1A	breast
AHR	AP000439.3	breast
AHR	SHANK2	breast
AHR	STARD10	breast
AHR	RP11-800A3.2	breast
AHR	P2RY6	breast
AHR	C2CD3	breast
AHR	PPME1	breast
AHR	MIR326	breast
AHR	PRKRIR	breast
AHR	RP11-111M22.2	breast
AHR	RP11-21L23.4	breast
AHR	TSKU	breast
AHR	RP11-21L23.3	breast
AHR	TENM4	breast
AHR	PRCP	breast
AHR	RAB30	breast
AHR	ME3	breast
AHR	ANKRD49	breast
AHR	MRE11A	breast
AHR	RP11-347E10.1	breast
AHR	COLCA1	breast
